,iid,valence,arousal,v_bins,a_bins
22435,I000594684,0.3909816125944873,0.6588914610031837,0.0,9.0
29296,I000778828,0.5829661959390217,0.3736969643561294,6.0,0.0
12788,I000374527,0.6797096750354304,0.4254908097253748,9.0,2.0
32667,I000866354,0.5217729711624648,0.4531958752727466,3.0,4.0
35560,I000939018,0.6015207781485293,0.49381458757869284,7.0,6.0
2044,I000074810,0.4354930618937117,0.5101304991382793,0.0,7.0
38848,I001010890,0.4698873791029342,0.2740529098738743,1.0,0.0
23616,I000623817,0.48785081414811776,0.4402392224836823,2.0,3.0
25809,I000683991,0.6384060975506755,0.37818167201342306,8.0,0.0
9226,I000289119,0.6667735740139793,0.4480768600836324,9.0,3.0
29181,I000774636,0.6992588993116571,0.5106494803430991,9.0,7.0
18045,I000491926,0.6597306280440187,0.40030383069354575,9.0,1.0
3070,I000111797,0.6077183254330656,0.5419187936471046,7.0,8.0
32454,I000859566,0.5084792308737506,0.35599890050042543,2.0,0.0
35610,I000940029,0.4663935703638583,0.44525719871004843,1.0,3.0
26206,I000694230,0.5582858829335927,0.4639032942895802,5.0,5.0
82,I000005440,0.5434823580944835,0.3217673743538264,4.0,0.0
16860,I000464466,0.5847174095786783,0.4722357857076374,6.0,5.0
30485,I000809667,0.5778769304566188,0.4170187856372912,6.0,2.0
33540,I000890204,0.5135238996300775,0.47287248144375854,3.0,5.0
32754,I000868200,0.4401574385427267,0.5283646353187512,1.0,8.0
26084,I000691332,0.3400073808806563,0.5645114527848192,0.0,9.0
4134,I000147763,0.5458107388746466,0.4592704133550828,4.0,4.0
12331,I000364405,0.4998131428630337,0.5482531226697389,2.0,8.0
36673,I000962770,0.5494512071527959,0.48614973505062925,4.0,6.0
1463,I000059113,0.6015011822162835,0.43216289441133376,7.0,3.0
1002,I000043596,0.5474363234586671,0.46174255541056125,4.0,4.0
34549,I000915090,0.23779809526275342,0.698081674345998,0.0,9.0
11827,I000353558,0.5224086748951416,0.4217777440657079,3.0,2.0
21099,I000561277,0.5982849191531903,0.4883204591767265,7.0,6.0
5682,I000190512,0.6448714361582559,0.48505967817213236,8.0,6.0
8778,I000279859,0.5353387375090554,0.5297112283865929,4.0,8.0
19599,I000528330,0.5928791679330132,0.45089319009614837,7.0,4.0
9740,I000304057,0.35145746427981395,0.5766011673831202,0.0,9.0
24498,I000648936,0.5986273971387609,0.4552216514976621,7.0,4.0
18643,I000506009,0.5562575868422267,0.4993420880684679,5.0,7.0
33296,I000882486,0.4452291762907863,0.31173834513490106,1.0,0.0
31933,I000846620,0.5824119296375307,0.4516559649851454,6.0,4.0
28646,I000758837,0.5701152617993932,0.4509918278598323,6.0,4.0
38352,I000999982,0.3655126004520759,0.5712962250244532,0.0,9.0
35797,I000943282,0.6640739673392739,0.4126271347742516,9.0,2.0
16211,I000450722,0.49700530881321847,0.37476416287339254,2.0,0.0
20125,I000540223,0.5429723996626752,0.43219121995624954,4.0,3.0
8334,I000267111,0.3380573532234773,0.670886458750249,0.0,9.0
32372,I000856966,0.5417480121623698,0.3689880168993684,4.0,0.0
9181,I000287999,0.4611520813115809,0.534482598732136,1.0,8.0
5124,I000176222,0.6566033535685847,0.422851975734194,9.0,2.0
18708,I000507407,0.5679563812480654,0.41399468068475687,5.0,2.0
35322,I000934198,0.479183540910092,0.40720017721077584,1.0,1.0
533,I000026639,0.4372181295644423,0.5838858264278766,0.0,9.0
37299,I000979271,0.5002419083355253,0.4353717119776187,2.0,3.0
4261,I000151281,0.727914006937567,0.45903977071479374,9.0,4.0
23065,I000610693,0.5338378343001793,0.49564493410902255,4.0,7.0
6373,I000212626,0.6029486675260846,0.35023998445650273,7.0,0.0
