,iid,valence,arousal,v_bins,a_bins
33476,I000888253,0.6755334038502903,0.5347879725821523,9.0,8.0
29169,I000774406,0.39397469889976033,0.6020458047091946,0.0,9.0
29726,I000789300,0.5010941861215259,0.4283541103718714,2.0,2.0
26992,I000715524,0.5448645917949005,0.44568767378062446,4.0,3.0
29852,I000792526,0.5728114223239552,0.46760198110292417,6.0,5.0
8032,I000259790,0.6091470485195468,0.34098761694635804,7.0,0.0
10710,I000327724,0.41654627368930397,0.6319683749400073,0.0,9.0
460,I000021659,0.5133692814288854,0.3853962850578825,3.0,1.0
13041,I000379244,0.40646034911516427,0.5642738610050166,0.0,9.0
16802,I000462757,0.5125089003487204,0.6262049439628428,3.0,9.0
27267,I000721915,0.6008959447116043,0.5076575506000115,7.0,7.0
18174,I000494869,0.45965761846153846,0.47557252421392593,1.0,5.0
32988,I000875093,0.6510888234878478,0.37846992681529057,8.0,0.0
30453,I000808711,0.399860028206476,0.5621593839658365,0.0,9.0
1683,I000064148,0.5271805862252781,0.5464918946073819,3.0,8.0
21061,I000560560,0.5545228254113022,0.4502030445731898,5.0,4.0
38,I000003369,0.40505341943750917,0.6306180541879138,0.0,9.0
16437,I000455259,0.5599443923679236,0.4329207943224881,5.0,3.0
31527,I000835997,0.494996020300524,0.35986968812179887,2.0,0.0
8226,I000264776,0.556826476507056,0.3372292144865621,5.0,0.0
29921,I000793824,0.6393687142824381,0.45502217271601475,8.0,4.0
21627,I000574254,0.7825117051292902,0.5485663036231714,9.0,8.0
2940,I000105610,0.5386566183156356,0.3981603067187751,4.0,1.0
7804,I000253899,0.6315878721271106,0.39965598332902075,8.0,1.0
21473,I000570743,0.5867883241112727,0.4589822960037496,6.0,4.0
1171,I000049718,0.518792811128404,0.5085370210540132,3.0,7.0
26033,I000689925,0.5331645976154354,0.4261258973391205,4.0,2.0
18676,I000506816,0.6926572751030255,0.41457827010975745,9.0,2.0
12216,I000362212,0.4851172772973327,0.45696845189764274,2.0,4.0
116,I000006896,0.5764232480231779,0.4592887942481634,6.0,4.0
28352,I000751082,0.5787654818841564,0.5216972299009848,6.0,8.0
25664,I000681104,0.6233717506776937,0.6173594117949538,8.0,9.0
24509,I000649223,0.5390842916618347,0.44746938386752966,4.0,3.0
